# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Bangladesh	Asia	Bangladeshi taka	Bangla	left	0	ASEAN Regional Forum|Asian Development Bank|Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation|Commonwealth of Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|South Asian Association for Regional Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	Westminster system|parliamentary republic	Asia/Dhaka|Bangladesh Standard Time|UTC+06:00
Belarus	Europe	Belarusian ruble	Belarusian|Russian	right	1	Collective Security Treaty Organization|Commonwealth of Independent States|Commonwealth of Independent States Free Trade Area|Eastern Partnership|Eurasian Economic Community|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Non-Aligned Movement|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union State|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	presidential system|republic	Europe/Minsk|UTC+03:00
Belgium	Europe		Dutch|French|German	right	0	African Development Bank|Antarctic Treaty System|Asian Development Bank|Australia Group|Belgium–Luxembourg Economic Union|Benelux|Council of Europe|Dutch Language Union|Eurocontrol|European Air Transport Command|European Alliance|European Economic Area|European Payments Union|European Southern Observatory|European Space Agency|European Union|Global Biodiversity Information Facility|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for Joint Armament Cooperation|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Earth|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	federation	UTC+01:00|UTC+02:00
Belize	North America	Belize dollar	English	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Association of Caribbean States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Commonwealth of Nations|Community of Latin American and Caribbean States|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|parliamentary monarchy	America/Belize|UTC−06:00
Benin	Africa	West African CFA franc	French	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Conseil de l'Entente|Economic Community of West African States|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Multinational Joint Task Force|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Africa/Porto-Novo|UTC+01:00
Bolivia	South America	boliviano	Aymara|Guarani|Quechua|Spanish	right	1	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Rio Group|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic|republic	America/La_Paz|UTC−04:00
Bosnia and Herzegovina	Europe	Bosnia and Herzegovina dinar|convertible mark	Bosnian|Croatian|Serbian	right	0	Council of Europe|Eurocontrol|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	federal parliamentary republic	Central European Time|Europe/Sarajevo|UTC+01:00|UTC+02:00
Botswana	Africa	Botswana pula	English	left	1	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Customs Union|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	Africa/Gaborone|Central Africa Time|UTC+02:00
Brazil	South America	Brazilian real	Portuguese	right	0	ABC nations|African Development Bank|Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Amazon Cooperation Treaty Organization|Andean Community|BRIC|BRICS|Cairns Group|Community of Latin American and Caribbean States|Community of Portuguese Language Countries|European Southern Observatory|Forum of East Asia–Latin America Cooperation|G20|G4 nations|G8+5|Group on Earth Observations|IBSA Dialogue Forum|Ibero-American Summit|International Bank for Reconstruction and Development|International Criminal Court|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Latin American Integration Association|Latin American and Caribbean Parliament|Latin American and the Caribbean Economic System|Latin Union|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Rio Group|South Atlantic Peace and Cooperation Zone|Summit of South American-Arab Countries|Summits of the Americas|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Health Organization|World Meteorological Organization|World Trade Organization	federal republic|presidential system|representative democracy	UTC−02:00|UTC−03:00|UTC−04:00
Bulgaria	Europe		Bulgarian	right	0	Antarctic Treaty System|Australia Group|COMECON|Council of Europe|Eurocontrol|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Security and Co-operation in Europe|Organization of the Black Sea Economic Cooperation|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Warsaw Pact|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+02:00
