# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Costa Rica	North America	Costa Rican colón	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Central American Bank for Economic Integration|Central American Common Market|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		America/Costa_Rica|UTC−06:00
Croatia	Europe		Croatian	right	0	Australia Group|Council of Europe|Eurocontrol|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	UTC+01:00
Cuba	North America	Cuban peso	Spanish	right	0	ALBA|Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|COMECON|Community of Latin American and Caribbean States|International Civil Defence Organisation|International Hydrographic Organization|International Telecommunication Union|Interpol|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	unitary state	America/Havana
Cyprus	Asia|Europe		Greek|Modern Greek|Turkish	left	0	Australia Group|Commonwealth of Nations|Council of Europe|Eurocontrol|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|republic	UTC+02:00
Czech Republic	Europe	Czech koruna	Czech	right	1	Antarctic Treaty System|Australia Group|CERN|Council of Europe|Eurocontrol|European Bank for Reconstruction and Development|European Southern Observatory|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|Visegrád Group|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+01:00
Democratic Republic of the Congo	Africa	Congolese franc	French	right	0	African Continental Free Trade Area|African Development Bank|African Union|Economic Community of Central African States|Gulf of Guinea Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	UTC+01:00|UTC+02:00
Denmark	Europe	Danish krone	Danish	right	0	African Development Bank|Arctic Council|Asian Development Bank|Australia Group|Carbon Neutrality Coalition|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Alliance|European Free Trade Association|European Payments Union|European Southern Observatory|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|Nordic Council|Nuclear Suppliers Group|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Earth|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	UTC+01:00
Dominica	North America	Eastern Caribbean dollar	English	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Commonwealth of Nations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Health Organization|World Meteorological Organization|World Trade Organization		America/Dominica|Atlantic Time Zone|UTC−04:00
Dominican Republic	North America	Dominican peso	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Forum|Central American Bank for Economic Integration|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		America/Santo Domingo|UTC−04:00
Ecuador	South America	United States dollar	Northern Quichua|Shuar|Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|Antarctic Treaty System|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|republic	America/Guayaquil|Pacific/Galapagos|UTC−06:00
Egypt	Africa	Egyptian pound	Arabic	right	0	African Continental Free Trade Area|African Development Bank|African Union|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|BRICS|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation internationale de la Francophonie|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Africa/Cairo|UTC+02:00|UTC+03:00
El Salvador	North America	Bitcoin|United States dollar	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Central American Bank for Economic Integration|Central American Common Market|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|representative democracy|republic	America/El_Salvador|UTC−06:00
Estonia	Europe		Estonian	right	0	Australia Group|Baltic Assembly|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Economic Area|European Union|Group on Earth Observations|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|League of Nations|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nordic Battle Group|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+02:00
Ethiopia	Africa	bir	Amharic	right	1	African Continental Free Trade Area|African Development Bank|African Union|BRICS|Carbon Neutrality Coalition|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	federal republic	Africa/Asmara|East Africa Time|UTC+03:00
Federated States of Micronesia	Oceania	United States dollar	English	right	0	Alliance of Small Island States|Asian Development Bank|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|World Health Organization	federal republic	UTC+10:00|UTC+11:00
Finland	Europe		Finnish|Swedish	right	0	African Development Bank|Antarctic Treaty System|Arctic Council|Asian Development Bank|Australia Group|Barents Euro-Arctic Council|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Free Trade Association|European Southern Observatory|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nordic Battle Group|Nordic Council|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Partnership for Peace|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+02:00
France	Europe	CFP Franc	French	right	0	African Development Bank|Antarctic Treaty System|Asian Development Bank|Australia Group|CERN|Council of Europe|Eurocontrol|European Air Transport Command|European Alliance|European Coal and Steel Community|European Economic Community|European Payments Union|European Southern Observatory|European Space Agency|European Union|G20|G7|G8|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|League of Nations|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Open Government Partnership|Organisation for Joint Armament Cooperation|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Southeast Asia Treaty Organization|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Earth|United Nations|United Nations Security Council|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization|states with nuclear weapons	semi-presidential system	UTC+01:00
Gabon	Africa	Central African CFA franc	French	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Bank of Central African States|Commonwealth of Nations|Economic Community of Central African States|Economic and Monetary Community of Central Africa|Group on Earth Observations|Gulf of Guinea Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations Security Council|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Africa/Libreville|UTC+01:00|West Africa Time
Georgia	Europe|North America	Georgian lari	English|Georgian	right	0	Collective Security Treaty Organization|Commonwealth of Independent States|Council of Europe|Eurocontrol|European Civil Aviation Conference|European Common Aviation Area|European Convention on Human Rights|GUAM Organization for Democracy and Economic Development|Group on Earth Observations|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Organization for Security and Co-operation in Europe|Organization of the Black Sea Economic Cooperation|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UN Tourism|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Intellectual Property Organization|World Trade Organization|potential enlargement of the European Union	parliamentary republic|presidential system|semi-presidential system|unitary state	America/New_York|Eastern Time Zone|UTC+04:00
Germany	Europe		German	right	0	African Development Bank|Antarctic Treaty System|Asian Development Bank|Australia Group|Berne Convention for the Protection of Literary and Artistic Works|Caribbean Development Bank|Comprehensive Nuclear-Test-Ban Treaty Organization|Convention on the Rights of Persons with Disabilities|Council of Europe|Council of the Baltic Sea States|Economic, Monetary and Social Union|Eurocontrol|European Air Transport Command|European Alliance|European Atomic Energy Community|European Coal and Steel Community|European Convention on Human Rights|European Economic Area|European Payments Union|European Southern Observatory|European Space Agency|European Union|Food and Agriculture Organization of the United Nations|G20|G4 nations|G7|G8|General Agreement on Tariffs and Trade|Group on Earth Observations|IT Planning Council|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Aviation Organization|International Commission for the Protection of the Danube River|International Commission for the Protection of the Rhine|International Development Association|International Energy Agency|International Finance Corporation|International Fund for Agricultural Development|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Labour Organization|International Maritime Organization|International Military Sports Council|International Monetary Fund|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for Joint Armament Cooperation|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Paris Charter|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UN Tourism|UNESCO|United Earth|United Nations|United Nations Convention to Combat Desertification|United Nations Framework Convention on Climate Change|United Nations Industrial Development Organization|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|Visa Waiver Program|Weimar Triangle|Western European Union|World Bank|World Customs Organization|World Health Organization|World Intellectual Property Organization|World Meteorological Organization|World Trade Organization|eurozone	parliamentary republic	UTC+01:00|UTC+02:00
Ghana	Africa	Ghana cedi	English	right	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	democracy	Africa/Accra|UTC+03:00|UTC±00:00
Greece	Europe		Greek	right	0	Australia Group|Council of Europe|Eurocontrol|European Alliance|European Economic Area|European Payments Union|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Organization of the Black Sea Economic Cooperation|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Earth|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+02:00
Greenland	North America	Danish krone	Greenlandic	right	0	Inuit Circumpolar Council|Nordic Council|Overseas Countries and Territories Association|West Nordic Council	parliamentary monarchy	UTC±00:00|UTC−01:00|UTC−02:00|UTC−03:00|UTC−04:00
Guatemala	North America	quetzal	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Central American Bank for Economic Integration|Central American Common Market|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|representative democracy	America/Guatemala|UTC−06:00
Guinea	Africa	Guinean franc	French|languages of Guinea	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Mano River Union|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Africa/Conakry|UTC+01:00|UTC±00:00
Haiti	North America	gourde	French|Haitian Creole	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		America/Port-au-Prince
Honduras	North America	Honduran lempira	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Central American Bank for Economic Integration|Central American Common Market|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	America/Tegucigalpa|UTC−06:00
Hungary	Europe	forint	Hungarian	right	1	Australia Group|COMECON|Council of Europe|Eurocontrol|European Economic Area|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Organization of Turkic States|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|Visegrád Group|Warsaw Pact|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+01:00
Iceland	Europe	Icelandic króna	Icelandic	right	0	Arctic Council|Australia Group|Barents Euro-Arctic Council|Council of Europe|Council of the Baltic Sea States|European Alliance|European Economic Area|European Free Trade Association|European Payments Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|NATO|Nordic Council|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Earth|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC±00:00|Western European Time
India	Asia	Indian rupee	English|Hindi	left	0	ASEAN Regional Forum|African Development Bank|Antarctic Treaty System|Asian Development Bank|BRICS|Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation|Commonwealth of Nations|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Shanghai Cooperation Organisation|South Asian Association for Regional Cooperation|UNESCO|United Nations|Universal Postal Union|World Health Organization|World Meteorological Organization|World Trade Organization|states with nuclear weapons	constitutional republic|democratic republic|federal republic|republic	
Indonesia	Asia	rupiah	Indonesian	left	0	ASEAN|ASEAN Regional Forum|Asia-Pacific Economic Cooperation|Asian Development Bank|BRICS|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Islamic World Educational, Scientific and Cultural Organization|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|republic	Asia/Jakarta|Asia/Jayapura|Asia/Makassar|Asia/Pontianak|Indonesia Central Standard Time|Indonesia Eastern Standard Time|Indonesia Western Standard Time
Iran	Asia	Iranian rial	Persian	right	0	BRICS|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Non-Aligned Movement|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization	Islamic Republic|islamic theocracy|presidential system|unitary state	Asia/Tehran|Iran Standard Time Zone|UTC+03:30
Iraq	Asia	Iraqi dinar	Arabic|Kurdish language	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	federal republic|federation	Asia/Baghdad|UTC+03:00
Ireland	Europe		English|Irish	left	0	African Development Bank|Asian Development Bank|Australia Group|Council of Europe|Eurocontrol|European Economic Community|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nordic Battle Group|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic|unitary state	Greenwich Mean Time|UTC±00:00
Israel	Asia	new shekel	Hebrew	right	0	Israel & Rodolffo|United Nations	parliamentary republic|unitary state	Asia/Jerusalem|Israel Standard Time|Israel Summer Time|UTC+02:00|UTC+03:00
Italy	Europe		Italian	right	0	African Development Bank|Antarctic Treaty System|Asian Development Bank|Australia Group|Bank for International Settlements|CERN|Caribbean Development Bank|Council of Europe|Euro-Atlantic Partnership Council|Eurocontrol|European Air Transport Command|European Bank for Reconstruction and Development|European Coal and Steel Community|European Economic Community|European Payments Union|European Southern Observatory|European Space Agency|European Union|Food and Agriculture Organization of the United Nations|G20|G7|G8|Group of Ten|Group on Earth Observations|Inter-American Development Bank|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Chamber of Commerce|International Civil Aviation Organization|International Criminal Court|International Development Association|International Energy Agency|International Finance Corporation|International Fund for Agricultural Development|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Labour Organization|International Maritime Organization|International Mobile Satellite Organization|International Monetary Fund|International Organization for Migration|International Red Cross and Red Crescent Movement|International Telecommunication Union|Interparliamentary Union|Interpol|Latin Union|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Office of the United Nations High Commissioner for Refugees|Organisation for Joint Armament Cooperation|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Permanent Court of Arbitration|Procurement G6|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UN Tourism|UN Trade and Development|UNESCO|Union for the Mediterranean|United Nations|United Nations Industrial Development Organization|United Nations Truce Supervision Organization|Universal Postal Union|Visa Waiver Program|Western European Union|World Customs Organization|World Health Organization|World Intellectual Property Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	Europe/Rome
